Sequence ID,H_F1-FR1,H_F2-FR1,H_F3-FR1,H_F4-FR1,H_F5-FR1,H_F1-CDR1,H_F2-CDR1,H_F3-CDR1,H_F4-CDR1,H_F5-CDR1,H_F1-FR2,H_F2-FR2,H_F3-FR2,H_F4-FR2,H_F5-FR2,H_F1-CDR2,H_F2-CDR2,H_F3-CDR2,H_F4-CDR2,H_F5-CDR2,H_F1-FR3,H_F2-FR3,H_F3-FR3,H_F4-FR3,H_F5-FR3,L_F1-FR1,L_F2-FR1,L_F3-FR1,L_F4-FR1,L_F5-FR1,L_F1-CDR1,L_F2-CDR1,L_F3-CDR1,L_F4-CDR1,L_F5-CDR1,L_F1-FR2,L_F2-FR2,L_F3-FR2,L_F4-FR2,L_F5-FR2,L_F1-CDR2,L_F2-CDR2,L_F3-CDR2,L_F4-CDR2,L_F5-CDR2,L_F1-FR3,L_F2-FR3,L_F3-FR3,L_F4-FR3,L_F5-FR3,is_sarscov2_related
ADI-75625,-0.256,0.29,-1.335,0.681,-0.547,-0.114,0.206,0.408,0.205,-0.146,-0.164,-0.069,-0.326,0.224,-0.298,-0.069,0.43,-0.208,0.282,0.336,0.145,0.071,-0.205,0.287,-0.077,-0.201,0.265,-1.093,0.539,-0.543,-0.089,0.538,-0.847,0.217,-0.584,0.196,0.086,-0.076,0.108,0.131,-0.47,-0.402,-2.075,1.27,-0.98,-0.17,0.45,-0.644,0.455,-0.387,1
ADI-75626,-0.243,0.261,-1.374,0.682,-0.533,-0.044,-0.103,0.939,0.218,0.186,-0.122,0.144,-0.185,0.133,0.004,-0.305,0.835,-0.871,0.46,-0.485,0.186,0.052,-0.28,0.24,-0.111,-0.201,0.265,-1.093,0.539,-0.543,-0.12,0.297,-2.026,0.096,-1.527,0.035,0.066,-0.446,0.226,-0.071,-0.47,-0.402,-2.075,1.27,-0.98,-0.17,0.45,-0.644,0.455,-0.387,1
ADI-75627,-0.291,0.225,-0.815,0.707,-0.284,0.036,0.017,0.762,0.182,0.228,-0.149,0.035,-0.544,0.291,-0.256,-0.371,0.573,0.658,0.685,0.711,0.105,0.09,0.019,0.266,0.058,-0.157,0.334,-1.508,0.531,-0.911,0.717,0.829,1.898,-0.392,1.126,0.196,0.086,-0.076,0.108,0.131,0.077,0.133,-3.05,0.66,-2.012,-0.132,0.411,-0.25,0.425,-0.212,1
ADI-75628,-0.274,0.174,-0.636,0.731,-0.243,-0.37,0.521,0.973,0.237,0.468,-0.149,0.035,-0.544,0.291,-0.256,-0.371,0.573,0.658,0.685,0.711,0.124,0.085,-0.027,0.271,0.048,-0.201,0.265,-1.093,0.539,-0.543,0.319,0.26,0.346,-0.078,-0.087,0.196,0.086,-0.076,0.108,0.131,0.077,0.133,-3.05,0.66,-2.012,-0.146,0.361,-0.002,0.398,-0.014,1
ADI-75629,0.052,0.161,-1.168,0.417,-0.506,-0.244,0.732,0.348,-0.114,0.167,-0.179,0.062,0.717,0.082,0.602,0.083,0.793,-0.616,0.26,-0.602,-0.078,0.205,-0.652,0.295,-0.37,-0.201,0.265,-1.093,0.539,-0.543,-0.122,0.717,-2.01,0.177,-1.244,0.236,0.086,-0.182,0.147,0.097,-0.47,-0.402,-2.075,1.27,-0.98,-0.173,0.445,-0.97,0.431,-0.542,1
ADI-75630,-0.29,0.422,-1.16,0.778,-0.305,-0.249,0.137,0.207,-0.11,0.24,-0.124,0.016,-0.499,0.309,-0.211,0.644,0.006,-0.677,0.113,-0.3,0.06,0.11,-0.193,0.331,-0.105,-0.245,0.377,-1.187,0.667,-0.609,0.205,0.534,-2.125,0.134,-1.44,0.119,-0.065,-0.409,0.262,-0.034,-0.284,0.141,-1.093,1.049,-0.493,-0.123,0.454,-0.486,0.46,-0.329,1
ADI-75631,-0.32,0.493,-1.165,0.674,-0.309,-0.585,0.347,-1.001,0.429,-0.598,-0.093,0.027,0.026,0.19,0.056,-0.361,0.804,-0.22,0.726,0.079,0.124,0.085,-0.027,0.271,0.048,-0.234,0.431,-0.9,0.525,-0.595,-0.166,0.624,0.537,-0.174,0.53,-0.032,0.197,-0.854,0.07,-0.514,-0.544,0.688,-1.645,0.994,-0.498,-0.072,0.476,-0.448,0.478,-0.255,1
ADI-75632,0.072,0.149,-1.488,0.448,-0.747,-0.227,1.094,-0.161,0.441,0.085,-0.159,0.197,-0.428,0.215,-0.165,-0.857,-0.06,0.414,0.84,0.1,0.091,-0.06,-0.018,0.301,0.007,-0.285,0.559,-0.929,0.662,-0.418,-0.089,0.69,-0.525,0.459,-0.144,-0.023,-0.019,-0.205,0.155,-0.07,0.111,1.293,-0.71,0.515,0.117,0.037,0.498,-0.564,0.459,-0.23,1
ADI-75634,-0.26,0.302,-1.229,0.71,-0.495,-0.256,0.483,0.954,-0.163,0.477,-0.091,0.148,-0.131,0.144,0.18,-0.035,1.096,-1.089,0.477,-0.506,0.084,0.035,-0.01,0.355,0.025,-0.189,0.167,-0.781,0.543,-0.462,0.783,0.692,0.461,-0.159,0.552,0.131,0.278,-0.283,0.091,-0.126,-0.471,0.035,-1.607,0.037,-0.992,-0.139,0.288,-0.47,0.477,-0.265,1
ADI-75636,0.072,0.149,-1.488,0.448,-0.747,-0.227,1.094,-0.161,0.441,0.085,-0.159,0.197,-0.428,0.215,-0.165,-0.857,-0.06,0.414,0.84,0.1,0.089,0.029,-0.173,0.332,-0.093,-0.292,0.261,-0.994,0.609,-0.519,0.581,0.01,0.484,-0.216,0.8,0.143,0.108,-0.284,0.095,-0.075,-0.719,-0.061,-2.012,1.161,-1.352,-0.165,0.42,-0.45,0.462,-0.277,1
ADI-75637,0.069,0.11,-0.989,0.442,-0.465,-0.244,0.732,0.348,-0.114,0.167,-0.2,0.093,0.498,0.216,0.477,0.083,0.793,-0.616,0.26,-0.602,-0.074,0.208,-0.827,0.272,-0.453,-0.262,0.221,-1.002,0.622,-0.474,-0.197,0.675,-1.142,0.53,-0.492,0.073,0.098,-0.771,0.186,-0.218,-0.47,-0.402,-2.075,1.27,-0.98,-0.143,0.464,-0.67,0.426,-0.398,1
ADI-75641,-0.299,0.268,-1.094,0.697,-0.442,-0.145,0.676,0.047,0.144,-0.196,-0.121,0.205,-0.019,0.3,0.196,-0.182,1.167,-1.847,0.582,-0.954,0.0,0.064,-0.027,0.302,0.059,-0.098,0.294,-0.76,0.517,-0.448,0.134,0.607,-1.53,0.374,-0.668,-0.071,0.046,-0.089,-0.078,-0.079,0.949,0.359,0.314,-0.219,0.389,0.031,0.375,-0.377,0.466,-0.246,1
ADI-75643,-0.157,0.177,-1.393,0.608,-0.789,-0.279,1.008,-0.552,0.472,-0.072,-0.136,0.071,0.392,0.243,0.301,-0.857,-0.06,0.414,0.84,0.1,0.001,0.069,0.185,0.381,0.037,-0.276,0.58,-1.13,0.593,-0.589,0.042,0.627,0.149,0.365,0.254,-0.136,0.081,-0.215,0.19,-0.119,0.176,0.935,1.614,0.595,1.437,0.075,0.277,-0.844,0.452,-0.49,1
ADI-75645,-0.033,0.037,-1.228,0.554,-0.623,-0.333,0.686,1.789,0.102,1.242,0.11,-0.137,0.075,0.041,0.382,0.053,0.752,0.791,0.496,0.776,-0.002,0.119,-0.227,0.282,-0.128,-0.281,0.454,-1.142,0.558,-0.738,-0.085,0.158,-3.199,0.518,-2.035,0.018,0.195,-0.87,0.044,-0.616,-0.426,0.246,-1.351,0.948,-0.749,0.003,0.396,0.136,0.415,0.24,1
ADI-75646,-0.157,0.28,-1.261,0.557,-0.784,-0.092,0.908,-1.035,0.189,-0.66,-0.022,0.414,0.256,-0.044,0.253,-0.227,0.841,0.335,0.287,0.275,-0.043,0.215,-0.68,0.441,-0.397,-0.074,0.123,-0.957,0.446,-0.521,0.783,0.692,0.461,-0.159,0.552,0.099,0.182,-0.456,0.13,-0.212,-0.471,0.035,-1.607,0.037,-0.992,-0.119,0.308,-0.525,0.511,-0.353,1
ADI-75648,0.081,0.211,-1.119,0.535,-0.467,-0.22,0.532,0.44,0.154,0.559,-0.055,0.111,-0.06,0.201,0.161,-0.857,-0.06,0.414,0.84,0.1,0.033,-0.042,-0.364,0.389,-0.256,-0.263,0.578,-1.206,0.639,-0.641,0.042,0.627,0.149,0.365,0.254,-0.189,0.104,-0.423,0.177,-0.325,0.176,0.935,1.614,0.595,1.437,0.075,0.277,-0.844,0.452,-0.49,1
ADI-75649,-0.18,0.289,-0.897,0.689,-0.308,-0.381,0.07,0.349,0.635,0.38,-0.116,-0.262,0.093,0.084,0.167,0.144,0.2,-0.727,0.245,-0.554,0.084,0.016,0.067,0.227,0.11,-0.102,0.675,-0.97,0.532,-0.473,-0.02,0.974,-0.64,0.284,-0.21,-0.235,0.133,-0.167,0.217,-0.13,-0.191,0.469,-0.065,0.393,-0.121,0.056,0.395,-1.005,0.474,-0.468,1
ADI-75650,0.013,-0.036,-0.803,0.404,-0.358,-0.113,0.7,1.522,0.078,0.874,-0.151,-0.082,0.164,-0.01,0.213,-0.106,0.389,-0.844,0.655,-0.47,0.015,0.115,-0.193,0.33,-0.154,-0.314,0.381,-1.223,0.625,-0.702,0.269,0.889,-0.079,0.226,-0.011,0.206,0.298,-0.301,0.104,0.084,0.089,0.186,-1.59,0.545,-0.754,0.009,0.372,-0.357,0.433,-0.187,1
ADI-75651,-0.043,0.14,-0.496,0.584,-0.164,-0.488,0.704,-0.767,0.577,-0.194,-0.107,-0.157,-0.371,0.356,-0.178,0.6,0.016,-1.613,-0.435,-1.527,0.039,0.158,-0.001,0.302,-0.026,-0.161,0.5,-0.641,0.591,-0.317,0.116,0.695,-0.704,0.389,0.028,-0.122,0.151,-0.566,0.155,-0.469,0.624,0.668,-4.024,0.051,-3.044,0.083,0.32,-0.34,0.457,-0.208,1
ADI-75652,-0.19,0.395,-1.269,0.58,-0.557,-0.251,0.696,-0.029,0.391,-0.04,-0.174,0.11,-0.808,0.255,-0.316,-0.26,1.056,0.53,0.521,0.533,0.121,0.092,-0.098,0.294,-0.006,-0.296,0.319,-1.524,0.511,-0.954,0.63,0.112,0.066,-0.276,-0.031,0.196,0.086,-0.076,0.108,0.131,0.077,0.133,-3.05,0.66,-2.012,-0.102,0.462,-0.158,0.364,-0.018,1
ADI-75655,-0.27,0.345,-0.959,0.685,-0.19,-0.085,0.351,1.448,0.041,1.325,-0.156,-0.189,-0.069,0.217,0.022,0.152,0.364,-0.191,0.229,0.022,0.145,0.071,-0.205,0.287,-0.077,-0.207,0.276,-0.849,0.554,-0.354,-0.283,0.267,0.544,0.743,0.71,0.119,-0.065,-0.409,0.262,-0.034,0.077,0.133,-3.05,0.66,-2.012,-0.131,0.428,-0.545,0.443,-0.37,1
ADI-75657,-0.283,0.342,-1.227,0.675,-0.538,-0.044,-0.103,0.939,0.218,0.186,-0.252,0.112,-0.158,0.32,0.057,-0.55,0.523,-0.647,0.371,-0.524,0.107,0.073,-0.288,0.243,-0.083,-0.214,0.368,-0.66,0.506,-0.487,0.46,0.622,-0.029,-0.174,0.572,0.003,0.211,-0.932,0.127,-0.618,-0.544,0.688,-1.645,0.994,-0.498,-0.033,0.32,-0.202,0.46,-0.044,1
ADI-75660,-0.324,0.476,-1.26,0.685,-0.492,-0.227,0.223,0.074,0.695,0.153,-0.112,0.19,-0.377,0.278,-0.081,-0.124,0.742,0.487,0.484,0.399,0.2,0.164,-0.072,0.212,-0.004,-0.201,0.265,-1.093,0.539,-0.543,-0.419,0.072,-0.524,0.463,-0.226,0.106,-0.039,-0.195,0.21,0.067,0.077,0.133,-3.05,0.66,-2.012,-0.164,0.444,-0.713,0.466,-0.469,1
ADI-75662,-0.239,0.239,-1.156,0.706,-0.506,-0.351,0.626,1.151,0.368,0.805,-0.156,-0.189,-0.069,0.217,0.022,0.251,0.663,-0.598,0.154,-0.195,0.149,0.016,-0.173,0.252,0.025,-0.222,0.524,-0.479,0.603,-0.191,0.366,0.439,-1.127,0.379,-0.359,-0.197,0.067,-0.637,0.18,-0.534,0.624,0.668,-4.024,0.051,-3.044,0.096,0.38,-0.121,0.441,-0.051,1
ADI-75669,-0.033,0.037,-1.228,0.554,-0.623,-0.157,0.866,1.412,0.095,0.968,-0.022,-0.003,0.3,-0.075,0.272,0.123,0.956,1.159,0.413,0.958,0.169,-0.022,0.308,0.268,0.309,-0.089,0.465,-1.393,0.543,-0.81,0.021,0.636,-0.362,0.48,0.03,0.01,0.126,0.061,0.1,0.038,0.787,0.478,-1.405,-0.452,-1.657,-0.098,0.324,-1.259,0.527,-0.714,1
ADI-75670,-0.184,0.091,-0.767,0.437,-0.425,-0.044,0.715,0.338,0.184,0.179,0.052,0.245,0.174,0.067,0.298,-0.091,0.51,0.393,0.326,0.531,-0.053,0.243,-0.969,0.451,-0.578,-0.182,0.243,-0.779,0.479,-0.376,-0.122,0.717,-2.01,0.177,-1.244,0.196,0.086,-0.076,0.108,0.131,-0.425,-0.902,-1.304,0.454,-0.379,-0.175,0.48,-0.838,0.449,-0.497,1
ADI-75671,-0.433,0.419,-1.437,0.714,-0.837,-0.348,0.482,-0.354,0.111,-0.415,-0.01,0.09,-0.11,0.229,0.19,-0.169,0.601,-0.509,0.456,-0.324,0.139,-0.031,-0.353,0.097,-0.247,-0.149,0.277,-0.826,0.538,-0.352,-0.089,0.538,-0.847,0.217,-0.584,0.196,0.086,-0.076,0.108,0.131,-0.401,0.583,-1.388,1.095,-0.243,-0.242,0.384,-0.586,0.407,-0.281,1
ADI-75673,-0.32,0.33,-1.381,0.707,-0.566,-0.356,0.728,-0.482,0.291,-0.278,-0.005,0.108,0.083,0.118,0.097,-0.236,0.597,-1.383,0.602,-0.593,0.096,0.057,-0.312,0.329,-0.1,-0.205,0.68,-1.009,0.587,-0.511,0.034,0.81,-0.298,0.27,-0.274,-0.046,0.404,-0.124,0.061,-0.023,-0.172,0.474,-2.987,0.551,-2.384,0.102,0.335,-0.67,0.437,-0.293,1
ADI-75674,-0.112,0.122,-0.113,0.537,-0.08,-0.503,0.655,-0.126,0.84,0.176,-0.161,-0.068,-0.185,0.413,-0.038,0.358,0.146,-1.153,-0.55,-1.348,0.05,0.22,-0.42,0.31,-0.257,-0.102,0.006,-1.025,0.466,-0.619,0.59,0.368,-0.566,-0.1,-0.327,0.099,0.205,-0.256,0.032,-0.134,-0.471,0.035,-1.607,0.037,-0.992,-0.106,0.333,-0.551,0.5,-0.284,1
ADI-75675,-0.183,0.005,-0.852,0.721,-0.471,-0.262,1.103,0.319,0.3,0.542,0.112,0.247,0.517,-0.038,0.325,-0.303,0.582,-1.21,0.699,-0.336,0.023,0.029,-0.505,0.488,-0.12,-0.3,0.304,-1.273,0.599,-0.677,-0.022,0.104,-0.45,0.393,-0.19,0.116,0.018,-0.304,0.184,-0.056,-0.145,0.368,-0.049,0.966,-0.075,-0.205,0.346,-0.158,0.513,-0.164,1
ADI-75681,-0.291,0.225,-0.815,0.707,-0.284,0.061,-0.118,1.633,0.211,0.723,-0.149,0.035,-0.544,0.291,-0.256,-0.26,1.056,0.53,0.521,0.533,0.124,0.085,-0.027,0.271,0.048,-0.225,0.261,-1.273,0.501,-0.733,0.419,-0.125,-0.135,-0.202,-0.214,0.086,0.138,0.023,0.178,0.111,0.077,0.133,-3.05,0.66,-2.012,-0.12,0.43,-0.163,0.418,-0.177,1
ADI-75684,-0.213,0.174,-0.804,0.676,-0.679,-0.205,0.708,-0.983,0.152,-0.439,-0.048,0.4,0.562,0.081,0.518,-0.027,0.813,1.343,0.395,0.911,-0.02,0.223,-0.349,0.408,-0.2,-0.164,0.659,-0.981,0.53,-0.458,-0.081,1.045,-1.623,0.473,-0.73,-0.1,0.155,-0.04,0.267,-0.06,0.554,1.018,-0.721,0.111,-0.26,0.039,0.391,-1.13,0.448,-0.599,1
ADI-75685,-0.256,0.29,-1.335,0.681,-0.547,-0.233,0.098,-0.437,0.208,-0.239,-0.156,-0.189,-0.069,0.217,0.022,0.264,0.429,-0.469,0.028,-0.456,0.137,0.059,-0.026,0.301,0.088,-0.335,0.584,-0.995,0.578,-0.569,-0.005,0.957,-0.396,0.285,-0.19,0.073,0.263,-0.444,0.115,-0.193,-0.172,0.474,-2.987,0.551,-2.384,0.111,0.288,-0.762,0.453,-0.297,1
ADI-75686,-0.303,0.279,-1.201,0.731,-0.526,-0.231,0.349,1.826,-0.134,0.972,-0.124,0.016,-0.499,0.309,-0.211,0.624,0.038,0.084,0.16,0.288,0.051,0.06,-0.315,0.286,-0.153,-0.144,0.291,-0.91,0.587,-0.467,-0.393,0.132,-1.388,0.733,-0.767,0.037,0.08,-0.208,0.152,-0.024,-0.47,-0.402,-2.075,1.27,-0.98,-0.143,0.35,-0.348,0.452,-0.219,1
ADI-75687,-0.32,0.33,-1.381,0.707,-0.566,-0.378,0.42,1.068,-0.029,0.524,-0.124,0.016,-0.499,0.309,-0.211,0.624,0.038,0.084,0.16,0.288,0.082,0.045,-0.156,0.263,-0.058,-0.13,0.27,-0.761,0.496,-0.382,-0.393,0.132,-1.388,0.733,-0.767,-0.003,0.064,-0.119,0.088,0.095,-0.47,-0.402,-2.075,1.27,-0.98,-0.148,0.38,-0.542,0.445,-0.329,1
ADI-75690,0.014,0.232,-1.519,0.524,-0.728,-0.134,0.434,0.819,0.462,0.594,-0.111,0.082,0.248,0.001,0.191,0.167,0.79,1.27,0.396,0.864,-0.17,0.012,0.151,0.392,0.021,-0.235,0.422,-1.465,0.514,-0.776,-0.458,0.55,-0.734,0.166,-0.559,0.283,0.451,0.256,0.001,0.347,0.567,0.54,-1.417,-0.24,-0.646,-0.017,0.385,-0.717,0.47,-0.331,1
ADI-75692,-0.162,0.009,-0.027,0.542,-0.009,-0.507,0.737,-1.432,0.779,-0.691,-0.161,-0.068,-0.185,0.413,-0.038,0.221,0.218,-0.408,-0.349,-0.896,0.051,0.203,-0.036,0.509,0.149,-0.103,0.413,-1.002,0.49,-0.638,-0.056,0.48,-0.733,0.317,-0.096,-0.003,0.128,0.075,0.146,0.061,0.787,0.478,-1.405,-0.452,-1.657,-0.098,0.324,-1.259,0.527,-0.714,1
ADI-75697,-0.182,0.373,-1.719,0.523,-0.983,-0.186,0.936,1.028,0.367,1.022,-0.151,0.353,-0.11,0.003,0.066,-0.267,0.41,0.195,0.467,0.004,-0.086,0.159,-0.69,0.436,-0.401,-0.278,0.334,-1.1,0.563,-0.576,-0.034,0.759,-1.294,0.351,-0.556,0.1,-0.024,-0.353,0.26,-0.055,-0.719,-0.061,-2.012,1.161,-1.352,-0.127,0.397,-0.047,0.343,-0.113,1
ADI-75701,-0.164,0.158,0.124,0.569,0.144,-0.349,0.512,0.74,0.492,0.775,-0.149,0.106,-0.063,0.382,0.092,0.306,-0.112,-0.82,-0.455,-1.005,0.058,0.241,-0.276,0.334,-0.141,-0.228,0.615,-1.127,0.614,-0.569,-0.08,0.552,-1.055,0.388,-0.32,-0.142,0.214,-0.289,0.305,-0.203,0.468,-0.057,-1.03,0.381,-0.818,0.035,0.314,-0.705,0.489,-0.343,1
ADI-75702,-0.32,0.33,-1.381,0.707,-0.566,-0.28,0.453,-0.093,0.269,-0.013,-0.112,0.19,-0.377,0.278,-0.081,0.236,0.618,1.458,0.554,1.725,0.099,0.029,-0.084,0.284,0.028,-0.214,0.294,-1.054,0.538,-0.557,0.004,0.38,-0.355,-0.014,0.182,0.106,-0.039,-0.195,0.21,0.067,-0.47,-0.402,-2.075,1.27,-0.98,-0.175,0.48,-0.838,0.449,-0.497,1
ADI-75703,-0.242,0.324,-1.292,0.648,-0.594,-0.229,0.688,1.036,0.233,0.758,-0.112,0.19,-0.377,0.278,-0.081,-0.068,0.436,-0.938,0.642,-0.295,0.126,0.078,0.043,0.249,0.103,-0.302,0.414,-1.288,0.585,-0.746,-0.138,0.385,-1.201,0.111,-0.831,0.127,0.197,0.026,0.157,0.162,-0.686,-0.15,-1.121,0.878,-0.659,-0.094,0.423,-0.496,0.419,-0.244,1
ADI-75704,-0.157,0.28,-1.261,0.557,-0.784,-0.151,1.057,-0.562,0.36,-0.115,-0.013,0.267,0.253,-0.156,0.33,-0.372,0.563,1.32,0.248,0.769,-0.081,0.213,-0.661,0.327,-0.418,-0.287,0.619,-0.991,0.598,-0.549,0.024,0.87,-1.624,0.234,-1.178,-0.073,0.09,-0.198,0.056,-0.022,0.322,-0.301,0.744,0.395,-0.389,0.038,0.348,-0.498,0.456,-0.163,1
ADI-75705,0.031,0.158,-0.768,0.457,-0.45,-0.159,0.527,2.201,-0.272,1.182,-0.016,0.044,0.513,0.211,0.555,0.103,0.761,-1.377,0.213,-1.191,-0.122,0.15,-0.328,0.204,-0.204,-0.122,0.344,-0.915,0.66,-0.399,0.26,0.485,-1.016,0.22,-0.352,0.036,0.036,-0.147,0.141,0.013,-0.47,-0.402,-2.075,1.27,-0.98,-0.095,0.229,0.208,0.438,0.113,1
ADI-75707,0.058,0.13,-0.95,0.471,-0.415,0.001,0.416,2.002,-0.113,1.355,0.011,0.046,0.265,0.021,0.374,0.103,0.761,-1.377,0.213,-1.191,-0.087,0.252,-0.796,0.221,-0.435,-0.294,0.371,-1.009,0.595,-0.587,-0.3,0.301,-1.048,0.29,-0.768,0.138,0.183,-0.188,0.164,-0.033,-0.47,-0.402,-2.075,1.27,-0.98,-0.143,0.464,-0.67,0.426,-0.398,1
ADI-75710,0.057,0.204,-1.111,0.452,-0.39,-0.404,0.948,0.45,0.542,0.536,0.047,-0.071,-0.051,0.147,-0.009,-0.857,-0.06,0.414,0.84,0.1,0.067,-0.003,-0.215,0.391,-0.114,-0.22,0.572,-0.848,0.623,-0.411,0.042,0.627,0.149,0.365,0.254,-0.136,0.081,-0.215,0.19,-0.119,-0.226,0.644,1.587,0.423,1.271,0.029,0.344,-0.899,0.482,-0.453,1
ADI-75712,0.04,0.285,-1.008,0.51,-0.403,-0.254,0.874,0.319,0.501,0.423,-0.185,0.071,-0.121,0.434,0.114,-0.758,0.139,0.752,0.659,0.232,0.104,-0.055,-0.067,0.34,-0.104,-0.24,0.643,-1.088,0.613,-0.583,-0.219,0.754,-1.198,0.552,-0.541,-0.136,0.081,-0.215,0.19,-0.119,0.042,0.308,-1.398,0.69,-0.62,0.081,0.37,-0.692,0.392,-0.392,1
ADI-75713,-0.101,0.272,-0.529,0.552,-0.209,-0.54,0.385,0.277,0.93,0.426,-0.161,-0.068,-0.185,0.413,-0.038,0.487,0.091,-0.648,-0.518,-0.848,0.055,0.225,0.111,0.28,0.069,-0.249,0.525,-1.171,0.634,-0.671,0.127,0.902,0.117,0.179,0.237,-0.204,0.174,-0.318,0.259,-0.166,1.015,0.477,-2.004,-0.229,-1.85,0.035,0.482,-0.517,0.455,-0.083,1
ADI-75715,-0.341,0.201,-1.276,0.739,-0.659,-0.05,0.52,0.413,0.07,0.095,0.068,0.008,-0.36,0.08,-0.084,-0.23,0.344,0.69,0.801,0.597,0.139,0.157,-0.24,0.311,0.019,-0.201,0.265,-1.093,0.539,-0.543,-0.039,0.238,-1.167,0.212,-0.504,0.127,0.119,-0.432,0.157,-0.08,-0.47,-0.402,-2.075,1.27,-0.98,-0.239,0.386,-0.68,0.453,-0.432,1
ADI-75716,-0.259,0.375,-1.472,0.624,-0.635,-0.326,0.363,0.504,0.603,0.323,-0.099,0.043,-0.131,0.24,-0.066,-0.26,0.743,0.56,0.715,0.672,0.124,0.085,-0.027,0.271,0.048,-0.232,0.186,-0.827,0.496,-0.42,0.047,0.664,0.015,0.1,0.138,0.106,-0.039,-0.195,0.21,0.067,-0.47,-0.402,-2.075,1.27,-0.98,-0.166,0.408,-0.332,0.476,-0.19,1
ADI-75720,-0.161,0.302,-1.479,0.534,-0.81,-0.172,0.865,0.297,0.161,0.266,0.053,0.23,0.518,-0.058,0.689,-0.297,0.923,-0.787,0.503,-0.319,-0.031,0.128,-0.468,0.367,-0.238,-0.254,0.307,-1.033,0.686,-0.501,0.057,0.666,-1.446,0.179,-0.994,0.168,0.033,-0.02,0.131,-0.015,-0.47,-0.402,-2.075,1.27,-0.98,-0.291,0.415,-0.748,0.518,-0.386,1
ADI-75721,0.038,-0.025,-0.953,0.488,-0.415,-0.032,0.275,1.744,-0.248,1.197,-0.179,0.062,0.717,0.082,0.602,0.083,0.793,-0.616,0.26,-0.602,-0.092,0.145,-0.856,0.247,-0.472,-0.159,0.41,-0.23,0.58,-0.119,0.21,0.392,-0.19,0.031,0.456,-0.277,0.151,-0.726,0.34,-0.463,-0.096,0.546,-0.523,0.035,-0.434,0.032,0.421,-0.207,0.486,-0.011,1
ADI-75723,-0.284,0.314,-1.239,0.716,-0.426,-0.488,-0.027,1.337,0.103,0.703,-0.008,0.105,-0.009,0.265,0.245,0.007,0.462,0.274,0.526,0.439,0.111,-0.06,-0.176,0.248,-0.08,-0.13,0.321,-0.522,0.392,-0.275,-0.212,0.707,-0.894,0.501,-0.345,-0.032,0.384,-0.153,0.232,-0.142,0.975,0.317,-1.787,-0.31,-1.387,0.062,0.393,-0.962,0.425,-0.617,1
ADI-75725,0.072,0.149,-1.488,0.448,-0.747,-0.279,1.008,-0.552,0.472,-0.072,-0.061,0.127,-0.217,0.251,0.039,-0.828,-0.065,0.384,0.742,0.05,0.129,-0.092,-0.072,0.282,-0.094,-0.233,0.6,-0.809,0.622,-0.425,0.042,0.627,0.149,0.365,0.254,-0.136,0.081,-0.215,0.19,-0.119,0.252,0.194,-0.075,-0.012,-0.498,0.039,0.238,-0.877,0.465,-0.521,1
ADI-75731,-0.019,0.145,-1.389,0.518,-0.723,-0.385,0.916,-0.312,0.496,-0.053,-0.055,0.111,-0.06,0.201,0.161,-0.857,-0.06,0.414,0.84,0.1,0.062,0.009,-0.119,0.368,-0.069,-0.233,0.6,-0.809,0.622,-0.425,0.042,0.627,0.149,0.365,0.254,-0.136,0.081,-0.215,0.19,-0.119,-0.295,-0.34,0.899,0.598,0.534,0.035,0.314,-0.705,0.489,-0.343,1
ADI-75732,-0.32,0.33,-1.381,0.707,-0.566,-0.185,0.198,-0.021,0.211,-0.465,-0.149,0.035,-0.544,0.291,-0.256,-0.177,0.917,0.543,0.321,0.589,0.147,0.048,-0.047,0.269,0.067,-0.245,0.239,-0.752,0.575,-0.376,0.106,0.443,0.163,0.077,0.012,0.196,0.086,-0.076,0.108,0.131,-0.47,-0.402,-2.075,1.27,-0.98,-0.244,0.416,-0.874,0.447,-0.542,1
ADI-75735,-0.217,0.367,-1.26,0.674,-0.414,-0.325,0.564,1.426,0.117,1.22,-0.112,-0.249,-0.08,0.236,0.087,0.138,0.354,-0.356,0.108,-0.284,0.123,0.122,-0.147,0.239,-0.057,-0.225,0.261,-1.273,0.501,-0.733,0.167,0.319,-0.485,-0.32,-0.219,0.144,0.102,0.06,0.093,0.309,0.077,0.133,-3.05,0.66,-2.012,-0.132,0.411,-0.25,0.425,-0.212,1
ADI-75739,-0.019,0.145,-1.389,0.518,-0.723,-0.279,1.008,-0.552,0.472,-0.072,0.012,0.294,-0.343,0.243,-0.065,-0.667,-0.039,0.304,0.908,0.206,0.034,-0.021,-0.282,0.345,-0.206,-0.228,0.615,-1.127,0.614,-0.569,0.042,0.627,0.149,0.365,0.254,-0.13,0.066,-0.058,0.14,0.003,0.176,0.935,1.614,0.595,1.437,0.075,0.277,-0.844,0.452,-0.49,1
ADI-75740,-0.14,0.229,-1.082,0.582,-0.743,0.022,0.934,1.103,0.142,0.898,0.047,0.381,0.612,-0.093,0.463,-0.422,0.677,-0.219,0.471,-0.179,0.021,0.079,-0.639,0.45,-0.261,-0.234,0.431,-0.9,0.525,-0.595,0.447,0.83,0.766,-0.068,0.837,0.003,0.211,-0.932,0.127,-0.618,-0.544,0.688,-1.645,0.994,-0.498,-0.036,0.327,-0.276,0.484,-0.101,1
